Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg16,CONV1,22344,85164325,14804.2,0.999982,67547,2.63017e+11,321112,0,0,0,1,0,1090032,54,1,1,150528,1728,5.7526e+12,85162752,27311.1,4162.69,3760.61,285878,85162752, 150528, 150528, 150528, 565.76, 85162752, 1728, 1728, 1728, 49284, 85162752, 85162752, 3154176, 3154176, 1, 1, 589, 74, 1541, 1541, 1541, 10645467, 10645467, 10645467, 1, 49284
vgg16,CONV2,22344,909995629,178441,1.9965,11188.6,2.63017e+11,318203,0,0.00506757,0,1,0,246688,54,1,1,3211264,36864,1.01815e+13,1816805376,27311.1,4162.69,851.074,285878,1816805376, 3239936, 3239936, 3211264, 560.753, 1816805376, 1281024, 1281024, 36864, 1418.24, 1816805376, 1816805376, 3154176, 3154176, 1, 9, 461, 29, 21, 21, 21, 1537154, 1537154, 1537154, 2, 1332
vgg16,CONV3,22344,89258426,2.91224e+06,9.99467,3431.95,2.63017e+11,317445,0,0.136364,0,1,0,27008,54,1,1,802816,73728,3.06331e+11,892108800,27311.1,4162.69,93.1776,285878,892108800, 7108672, 7108672, 802816, 125.496, 892108800, 3557376, 3557376, 73728, 250.777, 892108800, 892108800, 1548800, 12390400, 1, 9, 26, 24, 28, 28, 28, 50715, 50715, 50715, 10, 78.4158
