Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV1,88704,113378110,28242.3,1.9627,69495,4.0439e+12,3.91234e+06,0,0.0366972,0,1,0,21834,294,1,1,150528,9408,7.87921e+12,222527424,108423,89972.5,75.3273,3.71387e+06,222527424, 526470, 526470, 150528, 422.678, 222527424, 1370432, 1370432, 9408, 162.378, 222527424, 222527424, 3041536, 4541376, 1, 4, 16, 12, 27, 28, 27, 173361, 173361, 173361, 1, 86.7353
Resnet50,CONV2_1_1,88704,3215971,347399,3.99415,11497.3,4.0439e+12,3.82431e+06,1,0.101562,1,1,1,53824,6,1,1,200704,4096,3.6975e+10,12845056,108423,1836.17,185.693,3.71387e+06,12845056, 200704, 200704, 200704, 64, 12845056, 30976, 30976, 4096, 414.678, 12845056, 12845056, 200704, 200704, 1, 1, 99, 7, 7, 7, 7, 25124, 25124, 25124, 4, 392
Resnet50,CONV2_1_2,88704,6720807,26453.2,15.9944,604631,4.0439e+12,3.8391e+06,0,0,0,1,0,82784,54,1,1,200704,36864,4.06361e+12,107495424,108423,16525.6,285.605,3.71387e+06,107495424, 417136, 417136, 200704, 257.699, 107495424, 119808, 119808, 36864, 897.231, 107495424, 107495424, 186624, 746496, 1, 18, 71, 65, 92, 92, 92, 210023, 210023, 210023, 16, 185.963
Resnet50,CONV2_1_3,88704,25921283,227733,1.98216,8703.88,4.0439e+12,3.82418e+06,0,0.491071,0,1,0,15808,6,1,1,200704,16384,2.25616e+11,51380224,108423,1836.17,54.5376,3.71387e+06,51380224, 388864, 388864, 200704, 132.129, 51380224, 889344, 889344, 16384, 57.7732, 51380224, 51380224, 802816, 12845056, 1, 1, 3, 2, 28, 28, 28, 14465, 14465, 14465, 2, 38.9565
Resnet50,CONV2_1_Residual,88704,917773,90219.3,0.874744,9695.74,4.0439e+12,3.82417e+06,0,0.859375,0,1,0,12552,6,1,1,802816,256,8.89849e+09,802816,108423,1836.17,43.3044,3.71387e+06,802816, 802816, 802816, 802816, 1, 802816, 508, 508, 256, 1580.35, 802816, 802816, 802816, 802816, 1, 13, 13, 13, 13, 13, 13, 3585, 3585, 3585, 1, 1
Resnet50,CONV2_2_1,88704,51495026,63544.8,0.997771,15701.9,4.0439e+12,3.8256e+06,0,0.234375,0,1,0,427008,6,1,1,802816,16384,8.08567e+11,51380224,108423,1836.17,1473.18,3.71387e+06,51380224, 802816, 802816, 802816, 64, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 12845056, 1, 50, 50, 50, 784, 784, 784, 804609, 804609, 804609, 1, 62.72
Resnet50,CONV2_2_2,88704,6720807,86240.2,15.9944,185464,4.0439e+12,3.8391e+06,0,0,0,1,0,82784,54,1,1,200704,36864,1.24647e+12,107495424,108423,16525.6,285.605,3.71387e+06,107495424, 417136, 417136, 200704, 257.699, 107495424, 119808, 119808, 36864, 897.231, 107495424, 107495424, 186624, 746496, 1, 18, 71, 65, 92, 92, 92, 210023, 210023, 210023, 16, 185.963
Resnet50,CONV2_2_3,88704,25921283,227733,1.98216,8703.88,4.0439e+12,3.82418e+06,0,0.491071,0,1,0,15808,6,1,1,200704,16384,2.25616e+11,51380224,108423,1836.17,54.5376,3.71387e+06,51380224, 388864, 388864, 200704, 132.129, 51380224, 889344, 889344, 16384, 57.7732, 51380224, 51380224, 802816, 12845056, 1, 1, 3, 2, 28, 28, 28, 14465, 14465, 14465, 2, 38.9565
Resnet50,CONV2_2_Residual,88704,917773,90219.3,0.874744,9695.74,4.0439e+12,3.82417e+06,0,0.859375,0,1,0,12552,6,1,1,802816,256,8.89849e+09,802816,108423,1836.17,43.3044,3.71387e+06,802816, 802816, 802816, 802816, 1, 802816, 508, 508, 256, 1580.35, 802816, 802816, 802816, 802816, 1, 13, 13, 13, 13, 13, 13, 3585, 3585, 3585, 1, 1
Resnet50,CONV2_3_1,88704,51495026,63544.8,0.997771,15701.9,4.0439e+12,3.8256e+06,0,0.234375,0,1,0,427008,6,1,1,802816,16384,8.08567e+11,51380224,108423,1836.17,1473.18,3.71387e+06,51380224, 802816, 802816, 802816, 64, 51380224, 16384, 16384, 16384, 3136, 51380224, 51380224, 200704, 12845056, 1, 50, 50, 50, 784, 784, 784, 804609, 804609, 804609, 1, 62.72
