l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp,pe_util,noc_bw_req,l1_mem_req,l2_mem_req
256000.0,16000000.0,256.0,64.0,3.0,24.0,18.0,24.0,4.0,2.0,5.0,3.0,3.0,4.0,5.0,3.0,6.0,2.0,2.0,2.0,5.0,5.0,3.0,2.0,6.0,4.0,2.0,2.0,3.0,4.0,6.0,2.0,1024.0,64.0,1.0,128.0,32.0,1.0,1.0,1.0,1.0,32.0,64.0,1.0,5.0,6.0,5.0,4.0,5.0,6.0,6.0,4.0,6.0,3.0,5.0,4.0,6.0,3.0,6.0,2.0,4.0,1.0,128.0,128.0,1.0,3.0,512.0,1.0,1.0,1.0,1.0,20.0,20.0,1.0,20404045106.0,33381738.8,58768400000.0,92.21352222222222,10368.0,10.0,409600.0,6.811225041919103e+17,7.666666666666667,0.0783417888888889,10.0,269084.44444444444
64000.0,512000.0,256.0,64.0,3.0,16.0,16.0,32.0,6.0,2.0,1.0,5.0,4.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,1024.0,1.0,4.0,256.0,1.0,1.0,1.0,1.0,64.0,2.0,1.0,3.0,4.0,5.0,6.0,1.0,4.0,2.0,4.0,2.0,3.0,6.0,2.0,5.0,3.0,1.0,1.0,5.0,1.0,128.0,8.0,1.0,128.0,768.0,1.0,1.0,1.0,1.0,10.0,5.0,1.0,698532560.0,40390841.8,37350600000.0,74.52495555555555,8192.0,10.0,3202048.0,2.8214318123109004e+16,46.22222222222222,1.7634555555555556,10.0,2958563.5555555555
2048000.0,2048000.0,256.0,64.0,1.0,20.0,48.0,28.0,4.0,3.0,6.0,4.0,3.0,6.0,3.0,5.0,1.0,3.0,2.0,5.0,6.0,6.0,2.0,6.0,6.0,6.0,1.0,2.0,6.0,3.0,5.0,6.0,1.0,64.0,1.0,16.0,256.0,1.0,1.0,1.0,1.0,64.0,64.0,1.0,6.0,2.0,6.0,1.0,6.0,5.0,5.0,3.0,1.0,1.0,6.0,5.0,1.0,1.0,4.0,2.0,1.0,6.0,512.0,32.0,1.0,8.0,1536.0,1.0,1.0,1.0,1.0,64.0,2.0,1.0,24427626505.0,219830300.0,11911100.0,0.125609,28.0,10.0,10.0,5.369932462882101e+18,1.0,1.2222577777777779,10.0,10.0
256000.0,16000000.0,256.0,64.0,3.0,34.0,24.0,42.0,4.0,4.0,1.0,6.0,3.0,6.0,5.0,4.0,2.0,3.0,5.0,6.0,3.0,5.0,2.0,2.0,1.0,4.0,4.0,6.0,6.0,6.0,1.0,2.0,16.0,4.0,1.0,1.0,2048.0,1.0,1.0,1.0,1.0,128.0,8.0,1.0,1.0,1.0,6.0,4.0,2.0,3.0,4.0,6.0,4.0,2.0,1.0,1.0,5.0,4.0,4.0,1.0,2.0,2.0,4.0,64.0,1.0,16.0,768.0,1.0,1.0,1.0,1.0,32.0,16.0,1.0,1713246320.0,34962536.0,611749000000.0,662.7825555555555,34272.0,10.0,630784.0,5.989943613986752e+16,24.0,0.43793388888888884,10.0,614400.0
8192.0,2048000.0,256.0,64.0,1.0,14.0,44.0,34.0,1.0,6.0,6.0,2.0,6.0,2.0,5.0,2.0,5.0,4.0,2.0,1.0,1.0,3.0,5.0,6.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,4.0,1024.0,1.0,32.0,4.0,1.0,1.0,1.0,1.0,128.0,32.0,1.0,6.0,1.0,1.0,6.0,6.0,5.0,5.0,3.0,3.0,6.0,3.0,1.0,2.0,2.0,1.0,6.0,2.0,2.0,2048.0,4.0,1.0,8.0,96.0,1.0,1.0,1.0,1.0,160.0,5.0,1.0,724303881.0,199637320.0,14408200.0,0.152024,34.0,10.0,208.0,1.445980856684389e+17,33.67624444444444,33.67624444444444,10.0,208.0
4096.0,256000.0,256.0,64.0,2.0,44.0,36.0,46.0,6.0,3.0,3.0,5.0,4.0,4.0,6.0,6.0,2.0,3.0,6.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,4.0,6.0,2.0,1.0,32.0,2.0,1.0,32.0,2.0,1.0,1.0,1.0,1.0,4.0,16.0,1.0,4.0,4.0,6.0,5.0,5.0,2.0,2.0,4.0,6.0,1.0,6.0,3.0,5.0,3.0,6.0,4.0,6.0,4.0,8.0,256.0,1.0,64.0,8.0,1.0,1.0,1.0,1.0,32.0,64.0,1.0,119079944.0,54483440.0,2035110000.0,8.310885555555556,1656.0,10.0,23552.0,6487884984127360.0,335.3448222222222,52.717211111111105,10.0,13475.555555555555
8192.0,16000.0,256.0,64.0,2.0,42.0,26.0,10.0,4.0,2.0,4.0,1.0,1.0,5.0,5.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0,4.0,4.0,6.0,3.0,2.0,2.0,5.0,1.0,6.0,2.0,128.0,32.0,1.0,256.0,256.0,1.0,1.0,1.0,1.0,32.0,32.0,1.0,6.0,5.0,5.0,3.0,4.0,4.0,3.0,6.0,1.0,6.0,3.0,3.0,2.0,4.0,1.0,5.0,1.0,1.0,2.0,16.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,80.0,160.0,1.0,10666131605.0,123568235.0,135185000.0,1.198141111111111,260.0,10.0,34816.0,1.317995056707567e+18,4.666666666666667,0.6770111111111112,10.0,15833.777777777777
512000.0,32000.0,256.0,64.0,3.0,18.0,20.0,30.0,4.0,5.0,4.0,3.0,6.0,3.0,1.0,6.0,1.0,4.0,4.0,3.0,4.0,3.0,1.0,6.0,4.0,6.0,1.0,3.0,2.0,1.0,3.0,1.0,4.0,512.0,1.0,256.0,2048.0,1.0,1.0,1.0,1.0,32.0,32.0,1.0,2.0,6.0,2.0,1.0,6.0,4.0,4.0,5.0,6.0,1.0,6.0,6.0,3.0,4.0,3.0,5.0,1.0,6.0,4096.0,4.0,1.0,1.0,384.0,1.0,1.0,1.0,1.0,20.0,320.0,1.0,409562536.0,32935049.0,63595200000.0,112.1241111111111,10800.0,10.0,6012928.0,1.3488962191724264e+16,56.888888888888886,0.4722222222222222,10.0,4345400.888888889
512000.0,8192000.0,256.0,64.0,3.0,4.0,24.0,2.0,2.0,4.0,3.0,3.0,4.0,1.0,6.0,5.0,3.0,6.0,1.0,4.0,3.0,2.0,3.0,1.0,6.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,8.0,512.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,8.0,16.0,1.0,3.0,5.0,6.0,1.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,5.0,5.0,4.0,6.0,6.0,1.0,1.0,1024.0,128.0,1.0,3072.0,8.0,1.0,1.0,1.0,1.0,16.0,64.0,1.0,21224487728.0,33666099.0,94076300.0,13.980720000000002,192.0,10.0,6815744.0,7.14545705075133e+17,2.3333333333333335,0.10828977777777778,10.0,3808824.888888889
128000.0,8192000.0,256.0,64.0,3.0,38.0,30.0,36.0,2.0,5.0,3.0,2.0,5.0,3.0,2.0,4.0,4.0,6.0,2.0,4.0,1.0,2.0,3.0,2.0,6.0,6.0,5.0,6.0,4.0,6.0,6.0,3.0,32.0,128.0,1.0,16.0,512.0,1.0,1.0,1.0,1.0,16.0,64.0,1.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,3.0,6.0,1.0,6.0,1.0,4.0,1.0,6.0,2.0,4.0,4.0,1024.0,1024.0,1.0,768.0,4.0,1.0,1.0,1.0,1.0,10.0,160.0,1.0,6107232704.0,32789603.0,874105000000.0,928.0516666666666,41040.0,10.0,7356416.0,2.002537357927765e+17,4.0,0.013888888888888888,10.0,4414577.777777778
