l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1
0.0077269723023099405,0.002859220539106551,,,0.1143627797705329,0.05312935975236242,0.15538348709435051,0.16565443932135598,0.32030734588844917,0.2986459847570001,0.22736270437622283,0.22751413047051852,0.1821019308816441,0.21865480420811706,0.013173297624965065,0.06994489815676928,0.03032270996951439,0.028359199898157696,0.008904794189859802,0.022262515616709656,0.028124435047587177,0.0198101184622591,0.021379295536288104,0.002329568225081984,0.016400717483221416,0.04632486301038478,0.0003051279834131635,0.005997441707901489,0.009055489602872693,0.030854816022407604,0.0029618705370714404,0.05155554115115457,0.012575443306123322,0.04830572564868654,,0.04416837895981224,0.013685773966303785,,,,,0.02714007413862308,0.011589622789448667,,0.06666661069752582,0.05377291434231923,0.02350921873042312,0.012678713614144235,0.03168866910305697,0.006083262485963577,0.021967746730081922,0.019563252451199165,0.006963355379689756,0.0024975480765209515,0.015112384266478084,0.02871338781515215,0.051875555939034,0.0244969343594324,0.01874849891282222,0.03234838892756864,0.027365059179452162,0.02242025542734873,0.006888751151459635,0.010274721399458925,,0.06664101932899327,0.0027187599581798096,,,,,0.027432850621820895,0.020756864034992602,
0.015424176357718226,0.019545761160030893,,,0.8919964058526849,0.0008349382639664231,0.003033708915709663,0.03879318962102876,0.11816116949845575,0.059918889725035535,0.02234871449975399,0.03147577583133933,0.050544367830922365,0.017836196050381687,0.0007421813176587,0.04884070205712141,0.0777983662187509,0.0750243293863412,0.053155592783423404,0.012418762225232154,0.016710263387191948,0.015086941347667467,0.04644025228627755,0.02319004974028361,0.014506277150987134,0.028748203290024775,0.0012032299475399635,0.04765672703016908,0.0008862598788519103,0.02472995986030933,0.040248966569768375,0.0370396525855132,0.010864694498634437,0.021965512668049938,,0.04715525085941536,0.023347313561162826,,,,,0.0027309807298054427,0.02966938944576714,,0.055769842598887495,0.01686668017190246,0.0010180142126389653,0.04440675837000526,0.045663874927012495,0.02833276085152633,0.03428520579507867,0.005983597770329739,0.008830683965677731,0.025663796658476103,0.011367971051797382,0.03925620623448397,0.04043119373371717,0.01461467830976457,0.0437153668501827,0.030607648107299316,0.013427357415110636,0.06435029213811165,0.11764672055514805,0.06518636344028313,,0.026186061475723377,0.10797623117801858,,,,,0.058390935609411505,0.03583112794710478,
0.005355806073431053,0.0046010186059129345,,,0.9065299213069586,0.07173771587979784,0.16721523075241715,0.2548111910041406,0.011067012726804184,0.016629076085919115,0.015893176176752958,0.01888901914148567,0.057277757240114524,0.01921129739090555,0.012693849245040833,0.0717819202375515,0.05126158146840073,0.054571083762056785,0.0532146881679128,0.011038111512409575,0.0034330052843942584,0.026663936269115285,0.008540089223946036,0.005039400521077551,0.006954651582086446,0.01191729988092453,0.010814223908516274,0.0362620079753174,0.0031972702248586455,0.02599201289491154,0.05751122862277929,0.02280718047054629,0.010300564222717358,0.002569232445189253,,0.011284378603920307,0.003275471140467341,,,,,0.014672265185294586,0.07221143629552354,,0.031632552381847,0.007234860874894096,0.02142375741129462,0.027795605773254805,0.06469544832547813,0.016262815180340798,0.0185078595829199,0.0007261186885056988,0.054371926260650266,0.008802780462964673,0.007349137101992272,0.025613698921434017,0.0012947511897046487,0.03364740055143491,0.039544653262074465,0.0033372764013838954,0.01888973196742321,0.05363251599549111,0.0008166287719987551,0.02211681308053978,,0.017305562962830874,0.037577833646973376,,,,,0.007062225660675469,0.010975003838319196,
0.0004599141435828552,0.009032099142349415,,,0.9246104353381736,0.05859347546791269,0.14149206447688858,0.2270692295547709,0.015772888970000943,0.0028358635859533124,0.00953006527466103,0.022475168847898075,0.056409351906826805,0.01896853850993971,0.009294873441709737,0.07492533026527765,0.054283870432981864,0.05560529854520385,0.0500991046875122,0.007822213131052035,0.0017827250745552036,0.025083363291674484,0.014088332488473503,0.00901948561502565,0.012848745515913945,0.01028832429603124,0.008672562820524643,0.03485247424070707,0.0011417479657809244,0.026427612700175542,0.05291149270363136,0.028772244113928282,0.004641262194171213,0.011381275261109765,,0.022006561591201526,0.014087218767732232,,,,,0.014969688603547195,0.07042269615285704,,0.028240986022534807,0.007711382419665639,0.014890093687557258,0.030685821702969816,0.05885946285387016,0.02608853274486811,0.017627053712070854,0.0014682497179519863,0.04865401116597793,0.008383346516978345,0.008550680610943752,0.02419833656713319,0.0038310417465401226,0.03338071324175301,0.04222267857978018,0.005224391274775007,0.016250783274927034,0.05547689967472177,0.01937120620556675,0.006774684125721075,,0.008215231144300672,0.04972330691420347,,,,,0.0069564540082517395,0.011811615436366591,
0.005745546925733981,0.004969022610113423,,,0.9055195785933202,0.0717686800360101,0.16792011504910245,0.2562159102007441,0.01015190207884989,0.017918037691569758,0.016097811015475028,0.01790795286461073,0.05659774504589496,0.01981142849398247,0.01296467627811134,0.07160631140023112,0.05063226502787417,0.05414878580230203,0.053626835156694946,0.011205995931377737,0.0033291000577596688,0.026862433937104864,0.008473766380032012,0.005358154383246064,0.006889805592293826,0.011628433020138247,0.010683621156816104,0.03619090390931459,0.003209391130032013,0.026089268549400853,0.05739874433842977,0.02270047304683441,0.010220268076784176,0.0023987097305902733,,0.01099645252602932,0.003120772857867951,,,,,0.014498496415500401,0.07211948633332199,,0.03177014730553724,0.007308353430904718,0.021734068133347377,0.02765203037690824,0.06468404185265522,0.016083684577504025,0.018930727279859016,0.000390582795401602,0.05463367903743509,0.008929157493162575,0.007236863195033546,0.026190186395535664,0.0010890463824610062,0.033590310940918626,0.03993015187165271,0.0036045464494675367,0.018754936031546748,0.05362324083321823,0.0013176900063172582,0.022328246041057345,,0.017426902313012388,0.03764389825722535,,,,,0.006782121198344825,0.011094189470970852,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.018608858676166934,0.019653198604540897,,,0.9131921075873047,0.006649491884706215,0.013499056475802034,0.009458997792437505,0.08429958330564782,0.08418265481106044,0.03171963542791111,0.07085317228626484,0.07405638445433373,0.010131963432246571,0.009742355161685581,0.06964910239256829,0.07292446859717305,0.07398830099353351,0.03159478026554925,0.014774109789856119,0.003975082196810996,0.007613131916035965,0.022604098613862953,0.0016085891271355342,0.022657698273323278,0.03268997518967261,0.007983812727639815,0.035979511947987305,0.01299788654360458,0.031057802516584115,0.023235619895520785,0.029177758641124357,0.04602226622385993,0.0583540615924919,,0.0643422665637878,0.04793874559881717,,,,,0.0017488786656805913,0.062187249838172524,,0.03823165469119092,0.013459732519330482,0.0022425116206355065,0.035612780507993866,0.030219173540786966,0.028854237622975096,0.0020249381275955027,0.0020299723921147783,0.026858776419583775,0.011952943295049,0.012244608202033214,0.023755529311516754,0.0148946413730633,0.04156203990411021,0.05040944446942991,0.01724432869662432,0.002168445188557729,0.06378674244276486,0.10400414914587863,0.043853833335879236,,0.03553785379005795,0.10153102310619504,,,,,0.036009044157444325,0.006779001454022261,
0.0028121062647827317,0.0020420916104693606,,,0.45456231974689937,0.03847903037504604,0.13624485086836213,0.11795414215986265,0.29466055643313316,0.25130081908512036,0.1759495203823518,0.17710767707741787,0.15661944431875366,0.16191725805560334,0.016047806341461347,0.07203082493337197,0.05638959411881854,0.00820591025747346,0.014863434949670174,0.027931526785724484,0.018014361415945594,0.006007150869673822,0.006746995076839697,0.0058558454449280746,0.023125558621901007,0.052614131165973986,0.010609775727058833,0.027672730215336196,0.008858760119713933,0.01454835239288713,0.0168763736207968,0.053096545525516355,0.015801339502339938,0.032777338240074214,,0.05343787888178817,0.02560178319491972,,,,,0.023237947223665383,0.012941396660797432,,0.07547962578005352,0.0318143683346994,0.01816794453629272,0.03943544544748056,0.0022116238848178004,0.0038393715492414204,0.02262486183433209,0.019216372965176337,0.006563592892668625,0.0061469042335359865,0.010470795874365862,0.0022328184834792767,0.05290711389735817,0.001059625070416771,0.022223515038821345,0.01841983105479061,0.02245039623253928,0.03941722622532473,0.03584725566059401,0.016287120985909502,,0.05792633874977031,0.032209030793949475,,,,,0.0009279522733063925,0.005060806846111686,
0.012364194578953094,0.005612242859997864,,,0.24861062243029747,0.06164934494634987,0.1627120871786394,0.16381115775281024,0.323211457328733,0.2909418249379949,0.22286340253339273,0.2268257673970881,0.19180798362704204,0.2073471554436893,0.0015480796879922304,0.07846258442205827,0.029573145765786495,0.0014009901887485532,0.002994632245460109,0.014235920019542684,0.020825713546859637,0.02968373510248289,0.00672222056388597,0.018128201331367146,0.016578565651824032,0.04958142693753041,0.006579492668482998,0.008001702394329027,0.006922044049696534,0.03389310617243024,0.029720921865153273,0.045148359116772355,0.014326598264331395,0.048383279081033376,,0.04465362419980376,0.0017899879532275096,,,,,0.022325280653750616,0.00028908844814337474,,0.08759389964446719,0.06541780539112854,0.023390380702696525,0.02129245392194563,0.014930966886343513,0.013519404596668946,0.02801849198741004,0.018328463403666458,0.026027939315676662,0.0025290449221288753,0.003405101005998471,0.03311105197071174,0.05952754097293488,0.04539649691487299,0.022507399921484216,0.03516899419675205,0.03311066964713776,0.018876703054885,0.02131575735526645,0.005953824460528756,,0.04961007986044932,0.0003382467842680031,,,,,0.027716357728062288,0.0004858985307635587,
0.0018065263730748845,0.012337266980940285,,,0.5192716125946715,0.048605811801989876,0.12781870783335653,0.15905244880806466,0.2201511811587368,0.22777944486394783,0.1990668979348707,0.15260269487603723,0.15761037449205356,0.1686053729480967,0.01075450700897755,0.0030377106438329716,0.02748247816119032,0.04532494896449789,0.053230619954124626,0.0045764002004673185,0.025585228635643654,0.03263352718915403,0.039638834835160425,0.017770080782919473,0.005479085450524249,0.01783062770658719,0.005596021311285024,0.014431513429730739,0.0033542077409233566,0.04385164469717614,0.004292618022880208,0.0016864808955651632,0.047558131064877635,0.073211360925747,,0.032071858007915476,0.07075111519924716,,,,,0.05507814179388147,0.023498083810184728,,0.04198354268301432,0.07053821801247558,0.02207665594584947,0.013503927346374739,0.041833714068753365,0.027745142267030887,0.004816610442107677,0.01601784385189904,0.0009038519625380994,0.02034342389212589,0.006161417420389721,0.0598963462131065,0.02299062851788714,0.02600837969439339,0.007854998466727466,0.05012320975078862,0.024544292578484398,0.028794859953020904,0.1295604693192062,0.05496989306896384,,0.027438427249194246,0.058456535267960665,,,,,0.07575356824402485,0.04800314801625744,
