latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp,pe_util,noc_bw_req,l1_mem_req,l2_mem_req
1.0,0.2896018029492805,-0.2291540856431385,-0.2295044208810285,-0.2274551947931996,,-0.31282148070672433,0.9057352524191394,-0.9349419165943282,-0.6160394905277224,,-0.31996761985869976
0.2896018029492805,0.9999999999999999,-0.8178986867069463,-0.8462995757990522,-0.816503447582545,,-0.9089952278543305,0.6223165845891474,-0.3964707350270855,0.4526728172903733,,-0.9136731463646794
-0.22915408564313847,-0.8178986867069462,1.0,0.9902672693465449,0.9999781580582764,,0.8526113664573618,-0.5192359615201306,0.3713654875543517,-0.3640911116746847,,0.8537144744761516
-0.2295044208810285,-0.8462995757990522,0.990267269346545,0.9999999999999999,0.9899632766696094,,0.8916427108837848,-0.5272256090490532,0.37095300448103813,-0.38873936151107036,,0.8926638121001098
-0.22745519479319956,-0.816503447582545,0.9999781580582764,0.9899632766696093,1.0,,0.8509496541188524,-0.5175883267971251,0.3697459075279062,-0.36496754965650113,,0.8520561510983079
,,,,,,,,,,,
-0.31282148070672433,-0.9089952278543306,0.8526113664573618,0.8916427108837848,0.8509496541188525,,1.0,-0.6032908032618137,0.4344527519038018,-0.3617450045265436,,0.9989832088752504
0.9057352524191394,0.6223165845891473,-0.5192359615201307,-0.5272256090490532,-0.5175883267971251,,-0.6032908032618137,1.0,-0.8975402610462501,-0.30493268431158166,,-0.609838322105036
-0.9349419165943283,-0.3964707350270855,0.3713654875543518,0.37095300448103813,0.36974590752790626,,0.4344527519038018,-0.89754026104625,0.9999999999999999,0.5552420501513701,,0.4408042679661303
-0.6160394905277226,0.45267281729037334,-0.36409111167468466,-0.38873936151107036,-0.36496754965650113,,-0.36174500452654357,-0.30493268431158166,0.5552420501513701,1.0,,-0.35984350197463294
,,,,,,,,,,,
-0.31996761985869976,-0.9136731463646794,0.8537144744761516,0.8926638121001098,0.8520561510983079,,0.9989832088752504,-0.609838322105036,0.44080426796613026,-0.35984350197463294,,0.9999999999999999
